document_type,rouge_1,rouge_2,rouge_l,bleu_1,bleu_2,bleu_3,cosine_similarity
Abstract PLS,0.5563981042654028,0.183111954459203,0.2407582938388625,0.013013013013013,2.225073858507262e-308,2.225073858507262e-308,0.938877012381528
Abstract PLS,0.5566914498141263,0.18046511627906978,0.24721189591078066,0.012609117361784678,2.2250738585072626e-308,2.2250738585072626e-308,0.9374239299830012
