document_type,rouge_1,rouge_2,rouge_l,bleu_1,bleu_2,bleu_3,cosine_similarity
Manuscript,0.394567548248749,0.2537023797364927,0.2193403451444909,0.0046487603305785,2.225073858507262e-308,2.225073858507262e-308,0.97
Manuscript,0.39456754824874907,0.25370237973649273,0.21934034514449097,0.0046487603305785125,2.2250738585072626e-308,2.2250738585072626e-308,0.97
